-inf,inf
-1600,800
-1200,600
-1066.67,533.333
-1000,500
-960,480
-933.333,466.667
-914.286,457.143
-900,450
-888.889,444.444
-880,440
-872.727,436.364
-866.667,433.333
-861.538,430.769
-857.143,428.571
-853.333,426.667
-850,425
-847.059,423.529
-844.444,422.222
-842.105,421.053
-840,420
-838.095,419.048
-836.364,418.182
-834.783,417.391
-833.333,416.667
-832,416
-830.769,415.385
-829.63,414.815
-828.571,414.286
-827.586,413.793
-826.667,413.333
-825.806,412.903
-825,412.5
-824.242,412.121
-823.529,411.765
-822.857,411.429
-822.222,411.111
-821.622,410.811
-821.053,410.526
-820.513,410.256
-820,410
-819.512,409.756
-819.048,409.524
-818.605,409.302
-818.182,409.091
-817.778,408.889
-817.391,408.696
-817.021,408.511
-816.667,408.333
-816.327,408.163
-816,408
-815.686,407.843
-815.385,407.692
-815.094,407.547
-814.815,407.407
-814.545,407.273
-814.286,407.143
-814.035,407.018
-813.793,406.897
-813.559,406.78
-813.333,406.667
-813.115,406.557
-812.903,406.452
-812.698,406.349
-812.5,406.25
-812.308,406.154
-812.121,406.061
-811.94,405.97
-811.765,405.882
-811.594,405.797
-811.429,405.714
-811.268,405.634
-811.111,405.556
-810.959,405.479
-810.811,405.405
-810.667,405.333
-810.526,405.263
-810.39,405.195
-810.256,405.128
-810.127,405.063
-810,405
-809.877,404.938
-809.756,404.878
-809.639,404.819
-809.524,404.762
-809.412,404.706
-809.302,404.651
-809.195,404.598
-809.091,404.545
-808.989,404.494
-808.889,404.444
-808.791,404.396
-808.696,404.348
-808.602,404.301
-808.511,404.255
-808.421,404.211
-808.333,404.167
-808.247,404.124
-808.163,404.082
-808.081,404.04
-808,404
-807.921,403.96
-807.843,403.922
-807.767,403.883
-807.692,403.846
-807.619,403.81
-807.547,403.774
-807.477,403.738
-807.407,403.704
-807.339,403.67
-807.273,403.636
-807.207,403.604
-807.143,403.571
-807.08,403.54
-807.018,403.509
-806.957,403.478
-806.897,403.448
-806.838,403.419
-806.78,403.39
-806.723,403.361
-806.667,403.333
-806.612,403.306
-806.557,403.279
-806.504,403.252
-806.452,403.226
-806.4,403.2
-806.349,403.175
-806.299,403.15
-806.25,403.125
-806.202,403.101
-806.154,403.077
-806.107,403.053
-806.061,403.03
-806.015,403.008
-805.97,402.985
-805.926,402.963
-805.882,402.941
-805.839,402.92
-805.797,402.899
-805.755,402.878
-805.714,402.857
-805.674,402.837
-805.634,402.817
-805.594,402.797
-805.556,402.778
-805.517,402.759
-805.479,402.74
-805.442,402.721
-805.405,402.703
-805.369,402.685
-805.333,402.667
-805.298,402.649
-805.263,402.632
-805.229,402.614
-805.195,402.597
-805.161,402.581
-805.128,402.564
-805.096,402.548
-805.063,402.532
-805.031,402.516
-805,402.5
-804.969,402.484
-804.938,402.469
-804.908,402.454
-804.878,402.439
-804.848,402.424
-804.819,402.41
-804.79,402.395
-804.762,402.381
-804.734,402.367
-804.706,402.353
-804.678,402.339
-804.651,402.326
-804.624,402.312
-804.598,402.299
-804.571,402.286
-804.545,402.273
-804.52,402.26
-804.494,402.247
-804.469,402.235
-804.444,402.222
-804.42,402.21
-804.396,402.198
-804.372,402.186
-804.348,402.174
-804.324,402.162
-804.301,402.151
-804.278,402.139
-804.255,402.128
-804.233,402.116
-804.211,402.105
-804.188,402.094
-804.167,402.083
-804.145,402.073
-804.124,402.062
-804.103,402.051
-804.082,402.041
-804.061,402.03
-804.04,402.02
-804.02,402.01
-804,402
-803.98,401.99
-803.96,401.98
-803.941,401.97
-803.922,401.961
-803.902,401.951
-803.883,401.942
-803.865,401.932
-803.846,401.923
-803.828,401.914
-803.81,401.905
-803.791,401.896
-803.774,401.887
-803.756,401.878
-803.738,401.869
-803.721,401.86
-803.704,401.852
-803.687,401.843
-803.67,401.835
-803.653,401.826
-803.636,401.818
-803.62,401.81
-803.604,401.802
-803.587,401.794
-803.571,401.786
-803.556,401.778
-803.54,401.77
-803.524,401.762
-803.509,401.754
-803.493,401.747
-803.478,401.739
-803.463,401.732
-803.448,401.724
-803.433,401.717
-803.419,401.709
-803.404,401.702
-803.39,401.695
-803.376,401.688
-803.361,401.681
-803.347,401.674
