# Next line: [dim],[# integration points],[years],[dt],[system radius],[planet count],[beta]
3,16000,20,0.00125,10,3,2
# Next lines: [planet ID],[planet name]
0,Sun
1,Earth
2,Jupiter
# Next lines: [planet ID]=[x],[y],[z]
0=-0.00363108,0.00747765,1.841e-05
1=0.177935,0.975177,-2.53889e-05
2=0.373832,-5.21372,0.0132597
0=-0.00363101,0.00747664,1.84125e-05
1=0.170086,0.976561,-2.56118e-05
2=0.377224,-5.21331,0.0131821
0=-0.00363093,0.00747562,1.84151e-05
1=0.162225,0.977882,-2.58287e-05
2=0.380615,-5.2129,0.0131045
0=-0.00363086,0.00747461,1.84176e-05
1=0.154353,0.979138,-2.60397e-05
2=0.384006,-5.21248,0.0130269
0=-0.00363078,0.0074736,1.84202e-05
1=0.146472,0.98033,-2.62447e-05
2=0.387397,-5.21206,0.0129493
0=-0.00363071,0.00747258,1.84227e-05
1=0.138581,0.981457,-2.64438e-05
2=0.390788,-5.21164,0.0128717
0=-0.00363063,0.00747157,1.84252e-05
1=0.130681,0.98252,-2.66369e-05
2=0.394179,-5.21122,0.0127941
0=-0.00363055,0.00747056,1.84276e-05
1=0.122772,0.983519,-2.68242e-05
2=0.397569,-5.2108,0.0127164
0=-0.00363048,0.00746954,1.84301e-05
1=0.114855,0.984453,-2.70055e-05
2=0.400959,-5.21037,0.0126388
0=-0.0036304,0.00746853,1.84326e-05
1=0.10693,0.985322,-2.71809e-05
2=0.404349,-5.20994,0.0125612
0=-0.00363032,0.00746752,1.8435e-05
1=0.0989982,0.986127,-2.73505e-05
2=0.407739,-5.20951,0.0124835
0=-0.00363024,0.00746651,1.84374e-05
1=0.0910598,0.986867,-2.75141e-05
2=0.411129,-5.20907,0.0124059
0=-0.00363016,0.00746549,1.84398e-05
1=0.0831155,0.987541,-2.76718e-05
2=0.414519,-5.20864,0.0123282
0=-0.00363008,0.00746448,1.84422e-05
1=0.0751656,0.988151,-2.78237e-05
2=0.417908,-5.2082,0.0122506
0=-0.00363,0.00746347,1.84446e-05
1=0.0672106,0.988696,-2.79697e-05
2=0.421297,-5.20776,0.0121729
0=-0.00362991,0.00746245,1.84469e-05
1=0.0592512,0.989176,-2.81099e-05
2=0.424686,-5.20731,0.0120953
0=-0.00362983,0.00746144,1.84493e-05
1=0.0512878,0.989591,-2.82442e-05
2=0.428075,-5.20687,0.0120176
0=-0.00362975,0.00746043,1.84516e-05
1=0.0433209,0.989941,-2.83727e-05
2=0.431464,-5.20642,0.0119399
0=-0.00362966,0.00745941,1.84539e-05
1=0.035351,0.990226,-2.84953e-05
2=0.434852,-5.20597,0.0118622
0=-0.00362958,0.0074584,1.84562e-05
1=0.0273787,0.990445,-2.86121e-05
2=0.43824,-5.20552,0.0117845
0=-0.00362949,0.00745739,1.84585e-05
1=0.0194045,0.9906,-2.87231e-05
2=0.441628,-5.20507,0.0117068
0=-0.0036294,0.00745637,1.84608e-05
1=0.0114289,0.990689,-2.88284e-05
2=0.445016,-5.20461,0.0116292
0=-0.00362932,0.00745536,1.84631e-05
1=0.00345247,0.990713,-2.89278e-05
2=0.448404,-5.20415,0.0115514
0=-0.00362923,0.00745435,1.84653e-05
1=-0.00452436,0.990672,-2.90215e-05
2=0.451792,-5.20369,0.0114737
0=-0.00362914,0.00745333,1.84675e-05
1=-0.012501,0.990565,-2.91093e-05
2=0.455179,-5.20323,0.011396
0=-0.00362905,0.00745232,1.84697e-05
1=-0.020477,0.990393,-2.91915e-05
2=0.458566,-5.20276,0.0113183
0=-0.00362896,0.00745131,1.84719e-05
1=-0.0284518,0.990156,-2.92679e-05
2=0.461953,-5.20229,0.0112406
0=-0.00362887,0.00745029,1.84741e-05
1=-0.0364248,0.989854,-2.93386e-05
2=0.46534,-5.20182,0.0111629
0=-0.00362878,0.00744928,1.84763e-05
1=-0.0443957,0.989486,-2.94035e-05
2=0.468726,-5.20135,0.0110851
0=-0.00362869,0.00744827,1.84784e-05
1=-0.0523637,0.989054,-2.94628e-05
2=0.472112,-5.20088,0.0110074
0=-0.00362859,0.00744725,1.84806e-05
1=-0.0603284,0.988556,-2.95164e-05
2=0.475499,-5.2004,0.0109297
0=-0.0036285,0.00744624,1.84827e-05
1=-0.0682894,0.987992,-2.95643e-05
2=0.478884,-5.19992,0.0108519
0=-0.00362841,0.00744523,1.84848e-05
1=-0.076246,0.987364,-2.96065e-05
2=0.48227,-5.19944,0.0107742
0=-0.00362831,0.00744421,1.84869e-05
1=-0.0841978,0.98667,-2.96431e-05
2=0.485656,-5.19896,0.0106964
0=-0.00362822,0.0074432,1.8489e-05
1=-0.0921442,0.985912,-2.96741e-05
2=0.489041,-5.19847,0.0106186
0=-0.00362812,0.00744219,1.84911e-05
1=-0.100085,0.985088,-2.96994e-05
2=0.492426,-5.19798,0.0105409
0=-0.00362802,0.00744117,1.84931e-05
1=-0.108019,0.984199,-2.97192e-05
2=0.495811,-5.19749,0.0104631
0=-0.00362793,0.00744016,1.84951e-05
1=-0.115946,0.983245,-2.97334e-05
2=0.499195,-5.197,0.0103853
0=-0.00362783,0.00743915,1.84972e-05
1=-0.123866,0.982227,-2.9742e-05
2=0.50258,-5.19651,0.0103076
0=-0.00362773,0.00743813,1.84992e-05
1=-0.131777,0.981143,-2.9745e-05
2=0.505964,-5.19601,0.0102298
0=-0.00362763,0.00743712,1.85011e-05
1=-0.139681,0.979995,-2.97425e-05
2=0.509348,-5.19551,0.010152
0=-0.00362753,0.00743611,1.85031e-05
1=-0.147575,0.978781,-2.97345e-05
2=0.512732,-5.19501,0.0100742
0=-0.00362743,0.00743509,1.85051e-05
1=-0.155459,0.977503,-2.9721e-05
2=0.516115,-5.1945,0.00999641
0=-0.00362733,0.00743408,1.8507e-05
1=-0.163334,0.976161,-2.9702e-05
2=0.519498,-5.194,0.00991861
0=-0.00362723,0.00743307,1.8509e-05
1=-0.171198,0.974754,-2.96775e-05
2=0.522882,-5.19349,0.00984081
0=-0.00362713,0.00743205,1.85109e-05
1=-0.179051,0.973282,-2.96476e-05
2=0.526264,-5.19298,0.009763
0=-0.00362702,0.00743104,1.85128e-05
1=-0.186893,0.971746,-2.96123e-05
2=0.529647,-5.19247,0.00968519
0=-0.00362692,0.00743003,1.85146e-05
1=-0.194722,0.970145,-2.95716e-05
2=0.533029,-5.19195,0.00960737
0=-0.00362681,0.00742901,1.85165e-05
1=-0.202538,0.968481,-2.95254e-05
2=0.536412,-5.19143,0.00952955
0=-0.00362671,0.007428,1.85184e-05
1=-0.210342,0.966752,-2.94739e-05
2=0.539793,-5.19092,0.00945173
0=-0.0036266,0.00742699,1.85202e-05
1=-0.218132,0.964959,-2.9417e-05
2=0.543175,-5.19039,0.0093739
0=-0.0036265,0.00742597,1.8522e-05
1=-0.225907,0.963102,-2.93548e-05
2=0.546557,-5.18987,0.00929607
0=-0.00362639,0.00742496,1.85238e-05
1=-0.233668,0.961181,-2.92873e-05
2=0.549938,-5.18934,0.00921823
0=-0.00362628,0.00742395,1.85256e-05
1=-0.241414,0.959197,-2.92145e-05
2=0.553319,-5.18882,0.00914039
0=-0.00362617,0.00742293,1.85274e-05
1=-0.249144,0.957149,-2.91365e-05
2=0.556699,-5.18828,0.00906254
0=-0.00362606,0.00742192,1.85292e-05
1=-0.256858,0.955037,-2.90531e-05
2=0.56008,-5.18775,0.0089847
0=-0.00362595,0.00742091,1.85309e-05
1=-0.264555,0.952862,-2.89646e-05
2=0.56346,-5.18722,0.00890684
0=-0.00362584,0.00741989,1.85327e-05
1=-0.272235,0.950624,-2.88708e-05
2=0.56684,-5.18668,0.00882899
0=-0.00362573,0.00741888,1.85344e-05
1=-0.279897,0.948323,-2.87719e-05
2=0.57022,-5.18614,0.00875113
0=-0.00362562,0.00741787,1.85361e-05
1=-0.28754,0.945959,-2.86678e-05
2=0.573599,-5.1856,0.00867326
0=-0.00362551,0.00741685,1.85378e-05
1=-0.295165,0.943531,-2.85585e-05
2=0.576979,-5.18505,0.0085954
0=-0.00362539,0.00741584,1.85394e-05
1=-0.302771,0.941042,-2.84442e-05
2=0.580358,-5.18451,0.00851752
