# Next line: [dim],[# integration points],[years],[dt],[system radius],[planet count],[beta]
3,16000,20,0.00125,10,3,2
# Next lines: [planet ID],[planet name]
0,Sun
1,Earth
2,Jupiter
# Next lines: [planet ID]=[x],[y],[z]
0=-0.00363108,0.00747765,1.841e-05
1=0.177935,0.975177,-2.53889e-05
2=0.373832,-5.21372,0.0132597
0=-0.00363108,0.00747764,1.841e-05
1=0.170085,0.976562,-2.56133e-05
2=0.377224,-5.21331,0.0131821
0=-0.00363108,0.00747763,1.841e-05
1=0.162225,0.977885,-2.58349e-05
2=0.380615,-5.2129,0.0131045
0=-0.00363108,0.00747762,1.841e-05
1=0.154353,0.979144,-2.60535e-05
2=0.384006,-5.21248,0.0130269
0=-0.00363108,0.00747761,1.84101e-05
1=0.146472,0.980341,-2.62692e-05
2=0.387397,-5.21206,0.0129493
0=-0.00363108,0.0074776,1.84101e-05
1=0.13858,0.981475,-2.6482e-05
2=0.390788,-5.21164,0.0128717
0=-0.00363108,0.00747759,1.84101e-05
1=0.13068,0.982546,-2.66919e-05
2=0.394179,-5.21122,0.0127941
0=-0.00363108,0.00747758,1.84102e-05
1=0.12277,0.983554,-2.68988e-05
2=0.397569,-5.2108,0.0127164
0=-0.00363107,0.00747756,1.84102e-05
1=0.114853,0.984499,-2.71027e-05
2=0.400959,-5.21037,0.0126388
0=-0.00363107,0.00747755,1.84102e-05
1=0.106928,0.98538,-2.73037e-05
2=0.404349,-5.20994,0.0125612
0=-0.00363107,0.00747754,1.84102e-05
1=0.0989955,0.986199,-2.75017e-05
2=0.407739,-5.20951,0.0124835
0=-0.00363107,0.00747753,1.84103e-05
1=0.0910566,0.986953,-2.76966e-05
2=0.411129,-5.20907,0.0124059
0=-0.00363107,0.00747752,1.84103e-05
1=0.0831115,0.987645,-2.78886e-05
2=0.414519,-5.20864,0.0123282
0=-0.00363107,0.00747751,1.84103e-05
1=0.0751609,0.988273,-2.80775e-05
2=0.417908,-5.2082,0.0122506
0=-0.00363107,0.0074775,1.84103e-05
1=0.0672051,0.988837,-2.82634e-05
2=0.421297,-5.20776,0.0121729
0=-0.00363107,0.00747749,1.84104e-05
1=0.0592447,0.989338,-2.84463e-05
2=0.424686,-5.20731,0.0120953
0=-0.00363107,0.00747748,1.84104e-05
1=0.0512803,0.989775,-2.86261e-05
2=0.428075,-5.20687,0.0120176
0=-0.00363107,0.00747747,1.84104e-05
1=0.0433124,0.990149,-2.88028e-05
2=0.431464,-5.20642,0.0119399
0=-0.00363107,0.00747746,1.84104e-05
1=0.0353413,0.990459,-2.89764e-05
2=0.434852,-5.20597,0.0118622
0=-0.00363107,0.00747745,1.84105e-05
1=0.0273678,0.990705,-2.91469e-05
2=0.43824,-5.20552,0.0117845
0=-0.00363106,0.00747744,1.84105e-05
1=0.0193922,0.990887,-2.93143e-05
2=0.441628,-5.20507,0.0117068
0=-0.00363106,0.00747743,1.84105e-05
1=0.0114152,0.991006,-2.94786e-05
2=0.445016,-5.20461,0.0116292
0=-0.00363106,0.00747742,1.84105e-05
1=0.00343719,0.991061,-2.96397e-05
2=0.448404,-5.20415,0.0115514
0=-0.00363106,0.00747741,1.84105e-05
1=-0.00454128,0.991052,-2.97977e-05
2=0.451792,-5.20369,0.0114737
0=-0.00363106,0.0074774,1.84106e-05
1=-0.0125197,0.990979,-2.99526e-05
2=0.455179,-5.20323,0.011396
0=-0.00363106,0.00747739,1.84106e-05
1=-0.0204975,0.990843,-3.01043e-05
2=0.458566,-5.20276,0.0113183
0=-0.00363106,0.00747737,1.84106e-05
1=-0.0284743,0.990643,-3.02528e-05
2=0.461953,-5.20229,0.0112406
0=-0.00363106,0.00747736,1.84106e-05
1=-0.0364494,0.990379,-3.03981e-05
2=0.46534,-5.20182,0.0111629
0=-0.00363106,0.00747735,1.84107e-05
1=-0.0444224,0.990051,-3.05403e-05
2=0.468726,-5.20135,0.0110851
0=-0.00363106,0.00747734,1.84107e-05
1=-0.0523927,0.98966,-3.06792e-05
2=0.472112,-5.20088,0.0110074
0=-0.00363105,0.00747733,1.84107e-05
1=-0.0603599,0.989205,-3.08149e-05
2=0.475499,-5.2004,0.0109297
0=-0.00363105,0.00747732,1.84107e-05
1=-0.0683234,0.988686,-3.09475e-05
2=0.478884,-5.19992,0.0108519
0=-0.00363105,0.00747731,1.84108e-05
1=-0.0762827,0.988103,-3.10767e-05
2=0.48227,-5.19944,0.0107742
0=-0.00363105,0.0074773,1.84108e-05
1=-0.0842373,0.987457,-3.12028e-05
2=0.485656,-5.19896,0.0106964
0=-0.00363105,0.00747729,1.84108e-05
1=-0.0921867,0.986747,-3.13256e-05
2=0.489041,-5.19847,0.0106186
0=-0.00363105,0.00747728,1.84108e-05
1=-0.10013,0.985974,-3.14451e-05
2=0.492426,-5.19798,0.0105409
0=-0.00363105,0.00747727,1.84108e-05
1=-0.108068,0.985137,-3.15614e-05
2=0.495811,-5.19749,0.0104631
0=-0.00363105,0.00747726,1.84109e-05
1=-0.115998,0.984237,-3.16744e-05
2=0.499195,-5.197,0.0103853
0=-0.00363105,0.00747725,1.84109e-05
1=-0.123921,0.983273,-3.17841e-05
2=0.50258,-5.19651,0.0103076
0=-0.00363105,0.00747724,1.84109e-05
1=-0.131837,0.982246,-3.18906e-05
2=0.505964,-5.19601,0.0102298
0=-0.00363104,0.00747723,1.84109e-05
1=-0.139744,0.981156,-3.19938e-05
2=0.509348,-5.19551,0.010152
0=-0.00363104,0.00747722,1.84109e-05
1=-0.147642,0.980002,-3.20936e-05
2=0.512732,-5.19501,0.0100742
0=-0.00363104,0.00747721,1.8411e-05
1=-0.155531,0.978786,-3.21902e-05
2=0.516115,-5.1945,0.00999641
0=-0.00363104,0.00747719,1.8411e-05
1=-0.16341,0.977506,-3.22834e-05
2=0.519498,-5.194,0.00991861
0=-0.00363104,0.00747718,1.8411e-05
1=-0.171279,0.976163,-3.23734e-05
2=0.522882,-5.19349,0.00984081
0=-0.00363104,0.00747717,1.8411e-05
1=-0.179137,0.974757,-3.246e-05
2=0.526264,-5.19298,0.009763
0=-0.00363104,0.00747716,1.8411e-05
1=-0.186983,0.973289,-3.25433e-05
2=0.529647,-5.19247,0.00968519
0=-0.00363104,0.00747715,1.84111e-05
1=-0.194818,0.971758,-3.26232e-05
2=0.533029,-5.19195,0.00960737
0=-0.00363104,0.00747714,1.84111e-05
1=-0.20264,0.970164,-3.26999e-05
2=0.536412,-5.19143,0.00952955
0=-0.00363104,0.00747713,1.84111e-05
1=-0.210449,0.968508,-3.27731e-05
2=0.539793,-5.19092,0.00945173
0=-0.00363103,0.00747712,1.84111e-05
1=-0.218245,0.966789,-3.28431e-05
2=0.543175,-5.19039,0.0093739
0=-0.00363103,0.00747711,1.84111e-05
1=-0.226027,0.965008,-3.29096e-05
2=0.546557,-5.18987,0.00929607
0=-0.00363103,0.0074771,1.84112e-05
1=-0.233794,0.963164,-3.29729e-05
2=0.549938,-5.18934,0.00921823
0=-0.00363103,0.00747709,1.84112e-05
1=-0.241547,0.961259,-3.30327e-05
2=0.553319,-5.18882,0.00914039
0=-0.00363103,0.00747708,1.84112e-05
1=-0.249284,0.959292,-3.30892e-05
2=0.556699,-5.18828,0.00906254
0=-0.00363103,0.00747707,1.84112e-05
1=-0.257005,0.957263,-3.31424e-05
2=0.56008,-5.18775,0.0089847
0=-0.00363103,0.00747706,1.84112e-05
1=-0.264709,0.955172,-3.31921e-05
2=0.56346,-5.18722,0.00890684
0=-0.00363103,0.00747705,1.84113e-05
1=-0.272397,0.953019,-3.32385e-05
2=0.56684,-5.18668,0.00882899
0=-0.00363103,0.00747704,1.84113e-05
1=-0.280067,0.950806,-3.32815e-05
2=0.57022,-5.18614,0.00875113
0=-0.00363102,0.00747703,1.84113e-05
1=-0.287719,0.948531,-3.33212e-05
2=0.573599,-5.1856,0.00867326
0=-0.00363102,0.00747702,1.84113e-05
1=-0.295353,0.946194,-3.33574e-05
2=0.576979,-5.18505,0.0085954
0=-0.00363102,0.007477,1.84113e-05
1=-0.302968,0.943797,-3.33903e-05
2=0.580358,-5.18451,0.00851752
