# Next line: [dim],[# integration points],[years],[dt],[system radius],[planet count],[beta]
3,16000,20,0.00125,10,3,2
# Next lines: [planet ID],[planet name]
0,Sun
1,Earth
2,Jupiter
# Next lines: [planet ID]=[x],[y],[z]
0=-0.00362659,0.00742645,1.85221e-05
1=-0.202533,0.968391,-2.93565e-05
2=0.536412,-5.19143,0.00952955
0=-0.00362648,0.00742539,1.85241e-05
1=-0.210336,0.966658,-2.92984e-05
2=0.539793,-5.19092,0.00945173
0=-0.00362637,0.00742432,1.8526e-05
1=-0.218126,0.964861,-2.92348e-05
2=0.543175,-5.19039,0.0093739
0=-0.00362625,0.00742325,1.85279e-05
1=-0.225901,0.963001,-2.91657e-05
2=0.546557,-5.18987,0.00929607
0=-0.00362614,0.00742219,1.85298e-05
1=-0.233662,0.961076,-2.90913e-05
2=0.549938,-5.18934,0.00921823
0=-0.00362603,0.00742112,1.85317e-05
1=-0.241407,0.959087,-2.90114e-05
2=0.553319,-5.18882,0.00914039
0=-0.00362591,0.00742005,1.85336e-05
1=-0.249137,0.957035,-2.89262e-05
2=0.556699,-5.18828,0.00906254
0=-0.0036258,0.00741899,1.85355e-05
1=-0.25685,0.954919,-2.88356e-05
2=0.56008,-5.18775,0.0089847
0=-0.00362568,0.00741792,1.85373e-05
1=-0.264547,0.952739,-2.87397e-05
2=0.56346,-5.18722,0.00890684
0=-0.00362557,0.00741685,1.85391e-05
1=-0.272226,0.950497,-2.86385e-05
2=0.56684,-5.18668,0.00882899
0=-0.00362545,0.00741579,1.85409e-05
1=-0.279888,0.948191,-2.8532e-05
2=0.57022,-5.18614,0.00875113
0=-0.00362533,0.00741472,1.85427e-05
1=-0.287531,0.945822,-2.84202e-05
2=0.573599,-5.1856,0.00867326
0=-0.00362521,0.00741365,1.85445e-05
1=-0.295155,0.94339,-2.83033e-05
2=0.576979,-5.18505,0.0085954
0=-0.00362509,0.00741259,1.85463e-05
1=-0.30276,0.940895,-2.81811e-05
2=0.580358,-5.18451,0.00851752
0=-0.00362497,0.00741152,1.8548e-05
1=-0.310346,0.938338,-2.80537e-05
2=0.583736,-5.18396,0.00843965
0=-0.00362485,0.00741045,1.85497e-05
1=-0.317911,0.935718,-2.79212e-05
2=0.587115,-5.18341,0.00836177
0=-0.00362473,0.00740939,1.85515e-05
1=-0.325455,0.933035,-2.77835e-05
2=0.590493,-5.18285,0.00828389
0=-0.00362461,0.00740832,1.85532e-05
1=-0.332978,0.930291,-2.76408e-05
2=0.593871,-5.1823,0.008206
0=-0.00362449,0.00740725,1.85548e-05
1=-0.340479,0.927485,-2.74929e-05
2=0.597249,-5.18174,0.00812811
0=-0.00362436,0.00740619,1.85565e-05
1=-0.347958,0.924616,-2.734e-05
2=0.600626,-5.18118,0.00805022
0=-0.00362424,0.00740512,1.85582e-05
1=-0.355414,0.921686,-2.71821e-05
2=0.604004,-5.18062,0.00797232
0=-0.00362411,0.00740406,1.85598e-05
1=-0.362847,0.918695,-2.70192e-05
2=0.607381,-5.18006,0.00789443
0=-0.00362399,0.00740299,1.85614e-05
1=-0.370255,0.915642,-2.68513e-05
2=0.610757,-5.17949,0.00781652
0=-0.00362386,0.00740192,1.8563e-05
1=-0.37764,0.912528,-2.66784e-05
2=0.614134,-5.17892,0.00773862
0=-0.00362374,0.00740086,1.85646e-05
1=-0.385,0.909353,-2.65007e-05
2=0.61751,-5.17835,0.00766071
0=-0.00362361,0.00739979,1.85662e-05
1=-0.392334,0.906117,-2.6318e-05
2=0.620886,-5.17778,0.00758279
0=-0.00362348,0.00739872,1.85677e-05
1=-0.399643,0.902821,-2.61305e-05
2=0.624261,-5.1772,0.00750488
0=-0.00362335,0.00739766,1.85693e-05
1=-0.406925,0.899464,-2.59382e-05
2=0.627637,-5.17662,0.00742696
0=-0.00362322,0.00739659,1.85708e-05
1=-0.414181,0.896048,-2.5741e-05
2=0.631012,-5.17604,0.00734903
0=-0.00362309,0.00739552,1.85723e-05
1=-0.421409,0.892571,-2.55391e-05
2=0.634386,-5.17546,0.00727111
0=-0.00362296,0.00739446,1.85738e-05
1=-0.428609,0.889034,-2.53325e-05
2=0.637761,-5.17488,0.00719318
0=-0.00362283,0.00739339,1.85753e-05
1=-0.435782,0.885438,-2.51211e-05
2=0.641135,-5.17429,0.00711525
0=-0.00362269,0.00739232,1.85767e-05
1=-0.442925,0.881783,-2.49051e-05
2=0.644509,-5.1737,0.00703731
0=-0.00362256,0.00739126,1.85782e-05
1=-0.45004,0.878069,-2.46844e-05
2=0.647883,-5.17311,0.00695937
0=-0.00362243,0.00739019,1.85796e-05
1=-0.457125,0.874295,-2.44591e-05
2=0.651256,-5.17252,0.00688143
0=-0.00362229,0.00738913,1.8581e-05
1=-0.464179,0.870463,-2.42292e-05
2=0.654629,-5.17192,0.00680349
0=-0.00362216,0.00738806,1.85824e-05
1=-0.471203,0.866573,-2.39947e-05
2=0.658002,-5.17132,0.00672554
0=-0.00362202,0.00738699,1.85838e-05
1=-0.478196,0.862625,-2.37557e-05
2=0.661375,-5.17072,0.00664759
0=-0.00362188,0.00738593,1.85852e-05
1=-0.485157,0.858618,-2.35123e-05
2=0.664747,-5.17012,0.00656964
0=-0.00362175,0.00738486,1.85865e-05
1=-0.492086,0.854554,-2.32644e-05
2=0.668119,-5.16951,0.00649168
0=-0.00362161,0.0073838,1.85878e-05
1=-0.498983,0.850433,-2.3012e-05
2=0.67149,-5.16891,0.00641372
0=-0.00362147,0.00738273,1.85892e-05
1=-0.505847,0.846254,-2.27553e-05
2=0.674862,-5.1683,0.00633576
0=-0.00362133,0.00738166,1.85905e-05
1=-0.512677,0.842019,-2.24942e-05
2=0.678233,-5.16769,0.0062578
0=-0.00362119,0.0073806,1.85917e-05
1=-0.519474,0.837727,-2.22288e-05
2=0.681604,-5.16707,0.00617983
0=-0.00362105,0.00737953,1.8593e-05
1=-0.526236,0.833378,-2.19591e-05
2=0.684974,-5.16646,0.00610186
0=-0.00362091,0.00737846,1.85943e-05
1=-0.532963,0.828973,-2.16851e-05
2=0.688344,-5.16584,0.00602389
0=-0.00362076,0.0073774,1.85955e-05
1=-0.539655,0.824513,-2.14069e-05
2=0.691714,-5.16522,0.00594591
0=-0.00362062,0.00737633,1.85967e-05
1=-0.546311,0.819997,-2.11246e-05
2=0.695084,-5.1646,0.00586793
0=-0.00362048,0.00737527,1.85979e-05
1=-0.552931,0.815426,-2.08381e-05
2=0.698453,-5.16397,0.00578995
0=-0.00362033,0.0073742,1.85991e-05
1=-0.559514,0.8108,-2.05475e-05
2=0.701822,-5.16334,0.00571197
0=-0.00362019,0.00737313,1.86003e-05
1=-0.56606,0.806119,-2.02528e-05
2=0.705191,-5.16271,0.00563399
0=-0.00362004,0.00737207,1.86015e-05
1=-0.572569,0.801384,-1.9954e-05
2=0.708559,-5.16208,0.005556
0=-0.00361989,0.007371,1.86026e-05
1=-0.57904,0.796594,-1.96513e-05
2=0.711927,-5.16145,0.00547801
0=-0.00361975,0.00736994,1.86037e-05
1=-0.585472,0.791751,-1.93446e-05
2=0.715295,-5.16081,0.00540002
0=-0.0036196,0.00736887,1.86048e-05
1=-0.591865,0.786855,-1.9034e-05
2=0.718662,-5.16017,0.00532202
0=-0.00361945,0.00736781,1.86059e-05
1=-0.59822,0.781905,-1.87195e-05
2=0.722029,-5.15953,0.00524403
0=-0.0036193,0.00736674,1.8607e-05
1=-0.604534,0.776902,-1.84011e-05
2=0.725396,-5.15889,0.00516603
0=-0.00361915,0.00736567,1.86081e-05
1=-0.610808,0.771847,-1.80789e-05
2=0.728763,-5.15825,0.00508803
0=-0.003619,0.00736461,1.86091e-05
1=-0.617042,0.766739,-1.7753e-05
2=0.732129,-5.1576,0.00501002
0=-0.00361885,0.00736354,1.86101e-05
1=-0.623234,0.76158,-1.74233e-05
2=0.735495,-5.15695,0.00493202
0=-0.00361869,0.00736248,1.86112e-05
1=-0.629385,0.756369,-1.70899e-05
2=0.73886,-5.1563,0.00485401
0=-0.00361854,0.00736141,1.86122e-05
1=-0.635495,0.751107,-1.67529e-05
2=0.742225,-5.15564,0.004776
0=-0.00361839,0.00736035,1.86131e-05
1=-0.641562,0.745794,-1.64122e-05
2=0.74559,-5.15499,0.00469799
0=-0.00361823,0.00735928,1.86141e-05
1=-0.647586,0.74043,-1.6068e-05
2=0.748955,-5.15433,0.00461997
0=-0.00361808,0.00735821,1.8615e-05
1=-0.653567,0.735017,-1.57202e-05
2=0.752319,-5.15367,0.00454196
0=-0.00361792,0.00735715,1.8616e-05
1=-0.659504,0.729553,-1.53689e-05
2=0.755683,-5.153,0.00446394
0=-0.00361776,0.00735608,1.86169e-05
1=-0.665398,0.72404,-1.50142e-05
2=0.759047,-5.15234,0.00438592
0=-0.00361761,0.00735502,1.86178e-05
1=-0.671247,0.718477,-1.46561e-05
2=0.76241,-5.15167,0.0043079
0=-0.00361745,0.00735395,1.86187e-05
1=-0.677052,0.712866,-1.42946e-05
2=0.765773,-5.151,0.00422987
0=-0.00361729,0.00735289,1.86196e-05
1=-0.682811,0.707206,-1.39298e-05
2=0.769135,-5.15033,0.00415185
0=-0.00361713,0.00735182,1.86204e-05
1=-0.688525,0.701498,-1.35617e-05
2=0.772497,-5.14966,0.00407382
0=-0.00361697,0.00735076,1.86213e-05
1=-0.694193,0.695743,-1.31903e-05
2=0.775859,-5.14898,0.00399579
0=-0.00361681,0.00734969,1.86221e-05
1=-0.699814,0.68994,-1.28158e-05
2=0.779221,-5.1483,0.00391776
0=-0.00361665,0.00734863,1.86229e-05
1=-0.705389,0.68409,-1.24381e-05
2=0.782582,-5.14762,0.00383973
0=-0.00361648,0.00734756,1.86237e-05
1=-0.710917,0.678193,-1.20572e-05
2=0.785943,-5.14694,0.00376169
0=-0.00361632,0.0073465,1.86244e-05
1=-0.716397,0.67225,-1.16733e-05
2=0.789304,-5.14625,0.00368366
0=-0.00361616,0.00734543,1.86252e-05
1=-0.721829,0.666262,-1.12864e-05
2=0.792664,-5.14556,0.00360562
0=-0.00361599,0.00734437,1.86259e-05
1=-0.727213,0.660228,-1.08965e-05
2=0.796024,-5.14487,0.00352758
0=-0.00361583,0.0073433,1.86267e-05
1=-0.732549,0.654148,-1.05037e-05
2=0.799383,-5.14418,0.00344954
0=-0.00361566,0.00734224,1.86274e-05
1=-0.737835,0.648025,-1.0108e-05
2=0.802742,-5.14349,0.0033715
0=-0.00361549,0.00734117,1.86281e-05
1=-0.743072,0.641856,-9.70938e-06
2=0.806101,-5.14279,0.00329346
0=-0.00361533,0.00734011,1.86287e-05
1=-0.748259,0.635644,-9.308e-06
2=0.809459,-5.14209,0.00321541
0=-0.00361516,0.00733904,1.86294e-05
1=-0.753396,0.629389,-8.90386e-06
2=0.812817,-5.14139,0.00313736
0=-0.00361499,0.00733798,1.86301e-05
1=-0.758483,0.62309,-8.49702e-06
2=0.816175,-5.14069,0.00305932
0=-0.00361482,0.00733691,1.86307e-05
1=-0.763519,0.616749,-8.08751e-06
2=0.819533,-5.13998,0.00298127
0=-0.00361465,0.00733585,1.86313e-05
1=-0.768504,0.610365,-7.67538e-06
2=0.82289,-5.13927,0.00290322
0=-0.00361448,0.00733478,1.86319e-05
1=-0.773437,0.60394,-7.26069e-06
2=0.826246,-5.13856,0.00282517
0=-0.00361431,0.00733372,1.86325e-05
1=-0.778319,0.597473,-6.84347e-06
2=0.829603,-5.13785,0.00274711
0=-0.00361414,0.00733265,1.8633e-05
1=-0.783148,0.590965,-6.42377e-06
2=0.832958,-5.13713,0.00266906
0=-0.00361396,0.00733159,1.86336e-05
1=-0.787925,0.584417,-6.00165e-06
2=0.836314,-5.13642,0.002591
0=-0.00361379,0.00733052,1.86341e-05
1=-0.792649,0.577828,-5.57714e-06
2=0.839669,-5.1357,0.00251295
0=-0.00361361,0.00732946,1.86346e-05
1=-0.797319,0.5712,-5.15031e-06
2=0.843024,-5.13498,0.00243489
0=-0.00361344,0.0073284,1.86351e-05
1=-0.801937,0.564532,-4.72119e-06
2=0.846379,-5.13425,0.00235683
0=-0.00361326,0.00732733,1.86356e-05
1=-0.8065,0.557826,-4.28983e-06
2=0.849733,-5.13353,0.00227877
0=-0.00361309,0.00732627,1.86361e-05
1=-0.811009,0.551081,-3.85629e-06
2=0.853086,-5.1328,0.00220071
0=-0.00361291,0.0073252,1.86365e-05
1=-0.815464,0.544298,-3.42061e-06
2=0.85644,-5.13207,0.00212265
0=-0.00361273,0.00732414,1.8637e-05
1=-0.819864,0.537478,-2.98284e-06
2=0.859793,-5.13134,0.00204459
0=-0.00361255,0.00732307,1.86374e-05
1=-0.824209,0.530621,-2.54304e-06
2=0.863145,-5.1306,0.00196653
0=-0.00361237,0.00732201,1.86378e-05
1=-0.828498,0.523727,-2.10125e-06
2=0.866497,-5.12987,0.00188846
0=-0.00361219,0.00732095,1.86382e-05
1=-0.832732,0.516796,-1.65751e-06
2=0.869849,-5.12913,0.0018104
0=-0.00361201,0.00731988,1.86386e-05
1=-0.83691,0.50983,-1.2119e-06
2=0.873201,-5.12838,0.00173233
0=-0.00361183,0.00731882,1.86389e-05
1=-0.841032,0.502829,-7.64441e-07
2=0.876552,-5.12764,0.00165427
0=-0.00361165,0.00731775,1.86392e-05
1=-0.845097,0.495793,-3.152e-07
2=0.879902,-5.12689,0.0015762
0=-0.00361147,0.00731669,1.86396e-05
1=-0.849105,0.488723,1.35776e-07
2=0.883253,-5.12615,0.00149813
0=-0.00361128,0.00731563,1.86399e-05
1=-0.853056,0.481619,5.88435e-07
2=0.886603,-5.1254,0.00142006
0=-0.0036111,0.00731456,1.86402e-05
1=-0.85695,0.474481,1.04273e-06
2=0.889952,-5.12464,0.00134199
0=-0.00361091,0.0073135,1.86404e-05
1=-0.860786,0.467311,1.4986e-06
2=0.893301,-5.12389,0.00126393
0=-0.00361073,0.00731244,1.86407e-05
1=-0.864564,0.460108,1.95599e-06
2=0.89665,-5.12313,0.00118586
0=-0.00361054,0.00731137,1.86409e-05
1=-0.868283,0.452873,2.41487e-06
2=0.899998,-5.12237,0.00110778
0=-0.00361035,0.00731031,1.86412e-05
1=-0.871945,0.445607,2.87516e-06
2=0.903346,-5.12161,0.00102971
0=-0.00361016,0.00730924,1.86414e-05
1=-0.875547,0.438309,3.33683e-06
2=0.906694,-5.12085,0.000951642
0=-0.00360998,0.00730818,1.86416e-05
1=-0.879091,0.430981,3.79981e-06
2=0.910041,-5.12008,0.00087357
0=-0.00360979,0.00730712,1.86417e-05
1=-0.882575,0.423623,4.26406e-06
2=0.913388,-5.11931,0.000795498
0=-0.0036096,0.00730605,1.86419e-05
1=-0.886,0.416236,4.72952e-06
2=0.916734,-5.11854,0.000717426
0=-0.00360941,0.00730499,1.86421e-05
1=-0.889366,0.408819,5.19613e-06
2=0.92008,-5.11777,0.000639353
0=-0.00360921,0.00730393,1.86422e-05
1=-0.892671,0.401374,5.66384e-06
2=0.923426,-5.11699,0.00056128
0=-0.00360902,0.00730286,1.86423e-05
1=-0.895916,0.393901,6.13261e-06
2=0.926771,-5.11622,0.000483206
0=-0.00360883,0.0073018,1.86424e-05
1=-0.899101,0.3864,6.60236e-06
2=0.930116,-5.11544,0.000405133
0=-0.00360864,0.00730074,1.86425e-05
